link,kynangchitiet
https://jobs.xomdata.com/jobs/685188,Python
https://jobs.xomdata.com/jobs/685188,SQL
https://jobs.xomdata.com/jobs/685188,Excel
https://jobs.xomdata.com/jobs/685188,ETL
https://jobs.xomdata.com/jobs/685188,Machine Learning
https://jobs.xomdata.com/jobs/685188,R
https://jobs.xomdata.com/jobs/685181,SQL
https://jobs.xomdata.com/jobs/685181,Excel
https://jobs.xomdata.com/jobs/685181,Machine Learning
https://jobs.xomdata.com/jobs/685181,R
https://jobs.xomdata.com/jobs/685179,SQL
https://jobs.xomdata.com/jobs/685179,Spark
https://jobs.xomdata.com/jobs/685179,ETL
https://jobs.xomdata.com/jobs/685179,Machine Learning
https://jobs.xomdata.com/jobs/685179,R
https://jobs.xomdata.com/jobs/685176,Machine Learning
https://jobs.xomdata.com/jobs/685176,R
https://jobs.xomdata.com/jobs/685176,Git
https://jobs.xomdata.com/jobs/685175,Python
https://jobs.xomdata.com/jobs/685175,SQL
https://jobs.xomdata.com/jobs/685175,Power BI
https://jobs.xomdata.com/jobs/685175,Tableau
https://jobs.xomdata.com/jobs/685175,Spark
https://jobs.xomdata.com/jobs/685175,Machine Learning
https://jobs.xomdata.com/jobs/685175,R
https://jobs.xomdata.com/jobs/685175,Git
https://jobs.xomdata.com/jobs/685173,Python
https://jobs.xomdata.com/jobs/685173,SQL
https://jobs.xomdata.com/jobs/685173,Excel
https://jobs.xomdata.com/jobs/685173,Pandas
https://jobs.xomdata.com/jobs/685173,Machine Learning
https://jobs.xomdata.com/jobs/685173,R
https://jobs.xomdata.com/jobs/685173,Git
https://jobs.xomdata.com/jobs/685172,Python
https://jobs.xomdata.com/jobs/685172,SQL
https://jobs.xomdata.com/jobs/685172,Power BI
https://jobs.xomdata.com/jobs/685172,Machine Learning
https://jobs.xomdata.com/jobs/685172,R
https://jobs.xomdata.com/jobs/685172,Git
https://jobs.xomdata.com/jobs/685171,Python
https://jobs.xomdata.com/jobs/685171,Machine Learning
