Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
"(Senior) Business Intelligence (SBS Performance) - Business Intelligence & Planning, Shopee",TP. Hồ Chí Minh,Thỏa thuận,19 phút trước,"Python, SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685188
Junior Business Analyst / Chuyên Viên Phân Tích Nghiệp Vụ,Hà Nội,Thỏa thuận,1 giờ trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685181
Data Engineer,Hà Nội,Thỏa thuận,1 giờ trước,"SQL, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685179
Business Analyst (All levels),TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685176
Senior Data Science,Hà Nội,Thỏa thuận,3 giờ trước,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685175
Data Analyst,TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, SQL, Excel, Pandas, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685173
"Manager, Business Data Analytics, Consumer Banking",TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, SQL, Power BI, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685172
Senior AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685171
Data Analyst,Hà Nội,Thỏa thuận,4 giờ trước,"Python, Power BI, Tableau, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685168
Senior/Lead Business Analyst (data focus),TP. Hồ Chí Minh,Thỏa thuận,4 giờ trước,"Power BI, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685167
Data Engineer,Hà Nội,Thỏa thuận,4 giờ trước,"Python, SQL, Power BI, Pandas, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685165
Data Scientist/ BA Data,Hà Nội,Thỏa thuận,5 giờ trước,"Python, Power BI, Tableau, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685161
"Business and Marketing Data Scientist, Applied Machine Learning",Toàn quốc / Chưa rõ,Thỏa thuận,5 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685160
Data Engineering Manager,TP. Hồ Chí Minh,Thỏa thuận,5 giờ trước,"ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685157
Business Analyst,TP. Hồ Chí Minh,Thỏa thuận,5 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685156
Senior AI Engineer (Generative Models — LLM & Foundation Models),TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685154
Senior AI Engineer (middle up),TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, SQL, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685153
Hà Nội - Data Engineer>4 năm,Hà Nội,Thỏa thuận,6 giờ trước,"Python, SQL, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685151
Data Engineer,Hà Nội,Thỏa thuận,6 giờ trước,"Python, SQL, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685150
Data Analyst,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685149
"Senior AI Engineer (AIML/ CV/ OCR, Yolo, Python, Pytorch)",TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, Pandas, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685147
[Relocate to Thailand] Data Analyst Senior,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"SQL, Power BI, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685146
Expert/Senior Data Architect,Hà Nội,Thỏa thuận,8 giờ trước,"AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685143
AI Engineer,Hà Nội,Thỏa thuận,8 giờ trước,"Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/685141
Business Analyst,TP. Hồ Chí Minh,Thỏa thuận,8 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685140
Expert/Senior Data Scientist,Hà Nội,Thỏa thuận,8 giờ trước,"Python, SQL, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685138
Senior Data & Analytics Engineer (Global Hub),TP. Hồ Chí Minh,Thỏa thuận,8 giờ trước,"SQL, Power BI, Excel, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685137
XNOQuant - AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,9 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685135
AI Engineer (LLM),Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685134
Data Engineer - Dự án Bất động sản/Tài chính,Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Tableau, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685132
AI Engineer (for Game Development),TP. Hồ Chí Minh,Thỏa thuận,9 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685130
Data Engineer - Dự án Bất động sản,Toàn quốc / Chưa rõ,Thỏa thuận,9 giờ trước,"Python, SQL, Tableau, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685128
Data Scientist,Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Pandas, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685129
Business Analyst,Hà Nội,Thỏa thuận,10 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685127
"AI Engineer Intern - Tech Startup, HCMC Onsite only",TP. Hồ Chí Minh,Thỏa thuận,10 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685126
Data Platform Engineer (Based in Vietnam),Hà Nội,Thỏa thuận,10 giờ trước,"SQL, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685124
Data Engineer,Hà Nội,Thỏa thuận,10 giờ trước,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685123
[Part-time/Freelance] AI Engineer (English Fluency)_All Locations,Hà Nội,Thỏa thuận,11 giờ trước,"Python, Excel, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685121
Processing & Data Analyst (HR Team - Employee Experience)),TP. Hồ Chí Minh,Thỏa thuận,11 giờ trước,"Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685118
Junior Business Analyst – Retail & Restaurant Management Products,Hà Nội,Thỏa thuận,12 giờ trước,"Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685117
"Senior AI and ML Engineer, Agentic AI Systems",Hà Nội,Thỏa thuận,13 giờ trước,"Python, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685113
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684707
AI Engineer,Hà Nội,Thỏa thuận,20 giờ trước,"Python, AWS, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684409
Agentic AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684281
Business Analyst,Hà Nội,Thỏa thuận,20 giờ trước,"SQL, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/683857
Data Annotator (Work From Home),Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/677021
AI Data Quality Analyst,Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/626171
Business Analyst,Hà Nội,Thỏa thuận,20 giờ trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/620234
Data Engineer (Dong Nai),TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, SQL, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/585319
Senior AI Engineer – Supply Chain (Agent focus),TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/473929
"Lead Software Engineer, Customer Data Platform",Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Python, SQL, Excel, Spark, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/261640
CHUYÊN VIÊN PHÂN TÍCH DỮ LIỆU,Hà Nội,15 - 25 triệu,Vừa đăng,"Python, SQL, Power BI, Tableau, Excel, Pandas, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685163
AI/ML Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/685162
[TT.QT&UDDL]_Chuyên viên Quản trị dữ liệu Chi tiết công việc | Vietcombank,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685164
Khoa học dữ liệu/ Data Scientist,Hà Nội,20 triệu,Vừa đăng,"Python, SQL, Tableau, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/685159
Senior AI/Computer Vision Engineer (Egocentric Video),Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685106
Senior Data Business Analyst,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685103
"Senior AI and ML Engineer, Agentic AI Systems",TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685097
Technical Business Analyst,TP. Hồ Chí Minh,Thỏa thuận,21 giờ trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685093
Business Analyst,Hà Nội,Thỏa thuận,22 giờ trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685089
Business Analyst tiếng Nhật,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685083
HN | Senior Business Analyst- Upto 2000$,Hà Nội,Thỏa thuận,Vừa đăng,"Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/685082
Data Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Tableau, Pandas, NumPy, Spark, AWS, Docker, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685079
"Senior Data Engineer (Databricks, MLOps, AWS)",Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685077
Data Engineer - Personnal Loans,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685074
Data Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685073
[HN] TRUNG TÂM ĐỔI MỚI SÁNG TẠO - DATA SCIENCE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Pandas, NumPy, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685071
"Junior AI Engineer – Ho Chi Minh City, Vietnam",TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Pandas, NumPy, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685070
Home Racer - Data Scientist,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685067
Senior Machine Learning Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Pandas, NumPy, Spark, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685068
Regional Data Engineer Lead,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685066
