vitri,noilmviec,mucluong,ThoiGianDangGoc,kynang,link,NgayDang
BI,TP. Hồ Chí Minh,Thỏa thuận,19 phút trước,"Python, SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685188,2026-07-10 13:29:01.153
BA,Hà Nội,Thỏa thuận,1 giờ trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685181,2026-07-10 12:48:01.153
DE,Hà Nội,Thỏa thuận,1 giờ trước,"SQL, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685179,2026-07-10 12:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685176,2026-07-10 10:48:01.153
DS,Hà Nội,Thỏa thuận,3 giờ trước,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685175,2026-07-10 10:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, SQL, Excel, Pandas, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685173,2026-07-10 10:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, SQL, Power BI, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685172,2026-07-10 10:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685171,2026-07-10 10:48:01.153
DA,Hà Nội,Thỏa thuận,4 giờ trước,"Python, Power BI, Tableau, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685168,2026-07-10 09:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,4 giờ trước,"Power BI, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685167,2026-07-10 09:48:01.153
DE,Hà Nội,Thỏa thuận,4 giờ trước,"Python, SQL, Power BI, Pandas, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685165,2026-07-10 09:48:01.153
DS,Hà Nội,Thỏa thuận,5 giờ trước,"Python, Power BI, Tableau, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685161,2026-07-10 08:48:01.153
DS,Toàn quốc / Chưa rõ,Thỏa thuận,5 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685160,2026-07-10 08:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,5 giờ trước,"ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685157,2026-07-10 08:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,5 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685156,2026-07-10 08:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685154,2026-07-10 07:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, SQL, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685153,2026-07-10 07:48:01.153
DE,Hà Nội,Thỏa thuận,6 giờ trước,"Python, SQL, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685151,2026-07-10 07:48:01.153
DE,Hà Nội,Thỏa thuận,6 giờ trước,"Python, SQL, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685150,2026-07-10 07:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685149,2026-07-10 07:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, Pandas, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685147,2026-07-10 07:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"SQL, Power BI, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685146,2026-07-10 07:48:01.153
Other,Hà Nội,Thỏa thuận,8 giờ trước,"AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685143,2026-07-10 05:48:01.153
