Respondent,DatabaseName
118,SQLite
120,MongoDB
120,PostgreSQL
124,MySQL
124,Oracle
126,Microsoft SQL Server
128,PostgreSQL
128,Redis
128,SQLite
129,MySQL
130,MySQL
130,PostgreSQL
130,Redis
130,SQLite
139,MariaDB
139,MySQL
139,Oracle
140,Firebase
140,MySQL
140,PostgreSQL
140,SQLite
144,Oracle
151,Elasticsearch
151,MongoDB
151,Microsoft SQL Server
151,MySQL
157,Microsoft SQL Server
157,MySQL
158,Oracle
164,Microsoft SQL Server
166,DynamoDB
166,Elasticsearch
166,MongoDB
166,PostgreSQL
166,Redis
166,SQLite
173,Elasticsearch
173,MySQL
174,Firebase
174,MongoDB
174,Microsoft SQL Server
174,MySQL
174,Oracle
174,PostgreSQL
174,SQLite
177,Microsoft SQL Server
177,MySQL
177,SQLite
179,Firebase
179,MongoDB
179,MySQL
179,PostgreSQL
183,Firebase
183,Other(s):
184,SQLite
188,Microsoft SQL Server
189,MySQL
189,PostgreSQL
190,Elasticsearch
190,Microsoft SQL Server
190,MySQL
190,Oracle
190,PostgreSQL
190,Redis
191,Microsoft SQL Server
192,Elasticsearch
192,PostgreSQL
192,Redis
194,MySQL
196,Microsoft SQL Server
201,Microsoft SQL Server
201,MySQL
201,Oracle
201,PostgreSQL
202,Microsoft SQL Server
202,SQLite
207,Firebase
209,MySQL
211,Microsoft SQL Server
211,SQLite
213,DynamoDB
213,MariaDB
213,MySQL
213,SQLite
216,PostgreSQL
217,MongoDB
217,MySQL
219,Microsoft SQL Server
223,SQLite
224,MySQL
224,Redis
231,Elasticsearch
231,MariaDB
231,PostgreSQL
231,Redis
232,Firebase
232,SQLite
232,Other(s):
241,Microsoft SQL Server
241,Redis
238,MySQL
238,SQLite
246,Microsoft SQL Server
246,SQLite
249,Microsoft SQL Server
249,Redis
252,Microsoft SQL Server
252,PostgreSQL
252,Redis
252,SQLite
254,Microsoft SQL Server
254,Other(s):
259,Microsoft SQL Server
259,MySQL
259,PostgreSQL
259,SQLite
261,Firebase
261,MongoDB
262,Couchbase
262,MongoDB
262,Microsoft SQL Server
268,MySQL
268,PostgreSQL
273,MongoDB
273,MySQL
273,Oracle
273,PostgreSQL
273,Other(s):
275,DynamoDB
275,Microsoft SQL Server
275,PostgreSQL
275,SQLite
276,MySQL
277,MongoDB
279,MySQL
279,PostgreSQL
279,Redis
279,SQLite
280,Microsoft SQL Server
285,Microsoft SQL Server
285,MySQL
285,Oracle
285,SQLite
286,DynamoDB
286,Elasticsearch
286,Firebase
286,MySQL
289,MySQL
289,Redis
292,Microsoft SQL Server
293,Firebase
293,MongoDB
293,MySQL
293,Oracle
293,PostgreSQL
293,Redis
302,Elasticsearch
302,Other(s):
304,Couchbase
304,DynamoDB
304,Elasticsearch
304,MongoDB
304,PostgreSQL
304,Redis
304,SQLite
306,PostgreSQL
306,SQLite
308,PostgreSQL
308,SQLite
312,PostgreSQL
310,MongoDB
310,Microsoft SQL Server
310,SQLite
311,MongoDB
311,Microsoft SQL Server
311,MySQL
311,SQLite
316,Elasticsearch
316,MariaDB
316,MongoDB
316,MySQL
316,PostgreSQL
316,SQLite
317,PostgreSQL
321,Elasticsearch
321,PostgreSQL
321,Redis
322,Microsoft SQL Server
322,PostgreSQL
322,Redis
322,SQLite
324,Microsoft SQL Server
324,Oracle
326,Firebase
326,MySQL
328,MongoDB
330,Oracle
330,SQLite
332,SQLite
333,MongoDB
333,PostgreSQL
333,Redis
335,Microsoft SQL Server
338,MariaDB
338,Microsoft SQL Server
338,MySQL
338,Oracle
340,Microsoft SQL Server
410,Microsoft SQL Server
341,Microsoft SQL Server
341,MySQL
345,MongoDB
345,MySQL
352,MySQL
352,PostgreSQL
352,Redis
352,SQLite
354,Elasticsearch
354,MySQL
354,Redis
356,MongoDB
356,MySQL
356,PostgreSQL
356,Redis
356,SQLite
357,MongoDB
364,DynamoDB
364,MariaDB
364,MySQL
364,Redis
373,Microsoft SQL Server
373,MySQL
373,Oracle
373,SQLite
374,PostgreSQL
374,SQLite
375,MySQL
375,PostgreSQL
382,MariaDB
382,MongoDB
382,Microsoft SQL Server
382,MySQL
383,MongoDB
384,Elasticsearch
384,PostgreSQL
384,Redis
388,MongoDB
388,MySQL
388,Oracle
389,Firebase
389,MySQL
389,PostgreSQL
389,SQLite
392,Microsoft SQL Server
392,MySQL
392,SQLite
395,Elasticsearch
395,MySQL
395,Oracle
395,SQLite
398,MariaDB
398,Microsoft SQL Server
398,MySQL
398,SQLite
401,MySQL
