Respondent,DevType
118,"Developer, back-end"
118,"Developer, embedded applications or devices"
120,Data or business analyst
120,"Developer, back-end"
124,"Developer, back-end"
124,"Developer, full-stack"
124,DevOps specialist
126,"Developer, full-stack"
126,DevOps specialist
126,System administrator
128,"Developer, QA or test"
128,DevOps specialist
129,Academic researcher
129,Data scientist or machine learning specialist
129,Educator
129,"Engineer, data"
129,Scientist
130,Designer
130,"Developer, back-end"
130,"Developer, desktop or enterprise applications"
130,"Developer, full-stack"
130,"Developer, game or graphics"
139,"Developer, back-end"
139,"Developer, desktop or enterprise applications"
139,"Developer, full-stack"
139,System administrator
140,"Developer, mobile"
144,"Developer, full-stack"
151,"Developer, back-end"
151,"Developer, desktop or enterprise applications"
151,"Developer, embedded applications or devices"
151,"Developer, mobile"
151,DevOps specialist
157,"Developer, full-stack"
158,"Developer, full-stack"
164,"Developer, full-stack"
166,"Developer, back-end"
166,"Developer, front-end"
166,"Developer, full-stack"
173,"Developer, back-end"
173,"Developer, full-stack"
174,Academic researcher
174,Data or business analyst
174,Data scientist or machine learning specialist
174,"Developer, full-stack"
174,DevOps specialist
174,Engineering manager
177,Database administrator
177,"Developer, back-end"
177,"Developer, desktop or enterprise applications"
177,"Developer, embedded applications or devices"
177,"Developer, full-stack"
177,"Developer, mobile"
177,Student
179,Database administrator
179,"Developer, back-end"
179,"Developer, front-end"
179,"Developer, mobile"
179,Product manager
183,"Developer, desktop or enterprise applications"
183,"Developer, mobile"
184,Data scientist or machine learning specialist
184,"Developer, back-end"
184,"Developer, desktop or enterprise applications"
184,"Developer, mobile"
188,Data or business analyst
188,"Engineer, data"
189,Data or business analyst
189,Data scientist or machine learning specialist
189,"Developer, back-end"
189,"Engineer, data"
190,"Developer, back-end"
190,"Developer, full-stack"
191,Database administrator
191,"Developer, back-end"
191,"Developer, front-end"
191,"Developer, full-stack"
191,DevOps specialist
192,Data scientist or machine learning specialist
192,"Developer, full-stack"
192,Scientist
194,"Developer, back-end"
194,"Developer, embedded applications or devices"
196,"Developer, back-end"
196,"Developer, full-stack"
201,"Developer, back-end"
202,Data scientist or machine learning specialist
202,Database administrator
202,Designer
202,"Developer, back-end"
202,"Developer, desktop or enterprise applications"
202,"Developer, front-end"
202,"Developer, game or graphics"
202,"Developer, QA or test"
202,System administrator
207,"Developer, mobile"
207,"Developer, QA or test"
209,"Developer, full-stack"
209,DevOps specialist
211,"Developer, desktop or enterprise applications"
211,"Developer, full-stack"
213,"Developer, back-end"
216,"Developer, back-end"
216,DevOps specialist
217,"Developer, back-end"
217,"Developer, front-end"
217,Student
219,"Developer, full-stack"
219,Product manager
223,"Developer, mobile"
224,"Developer, back-end"
224,DevOps specialist
224,"Engineer, site reliability"
231,"Developer, back-end"
232,"Developer, full-stack"
232,"Developer, mobile"
241,"Developer, full-stack"
238,Data or business analyst
238,Designer
238,"Developer, full-stack"
238,"Developer, mobile"
246,"Developer, full-stack"
249,"Developer, back-end"
252,"Developer, back-end"
252,"Developer, mobile"
252,DevOps specialist
252,"Engineer, site reliability"
252,System administrator
254,Data or business analyst
254,"Engineer, data"
259,"Developer, full-stack"
261,"Developer, mobile"
262,"Developer, front-end"
262,"Developer, full-stack"
262,"Engineer, data"
268,"Developer, back-end"
268,DevOps specialist
273,"Developer, back-end"
273,"Developer, front-end"
273,"Developer, full-stack"
273,"Developer, QA or test"
273,"Engineer, data"
275,"Developer, back-end"
275,"Developer, front-end"
275,"Developer, full-stack"
276,"Developer, back-end"
276,"Developer, full-stack"
277,"Developer, embedded applications or devices"
279,"Developer, back-end"
279,"Developer, full-stack"
279,"Developer, QA or test"
280,"Developer, back-end"
280,"Developer, front-end"
280,"Developer, full-stack"
280,Senior executive/VP
285,Designer
285,"Developer, back-end"
285,"Developer, desktop or enterprise applications"
285,"Developer, front-end"
285,"Developer, full-stack"
285,"Developer, mobile"
285,"Developer, QA or test"
285,DevOps specialist
286,"Developer, full-stack"
289,"Developer, back-end"
289,"Developer, desktop or enterprise applications"
289,"Developer, full-stack"
292,"Developer, back-end"
292,"Developer, front-end"
292,"Developer, full-stack"
