Respondent,Language
118,Bash/Shell/PowerShell
118,C
118,C++
120,Elixir
120,HTML/CSS
120,JavaScript
120,Python
120,Ruby
120,SQL
124,HTML/CSS
124,Java
124,SQL
126,C#
126,SQL
128,Bash/Shell/PowerShell
128,Go
128,Ruby
129,C++
129,Python
129,R
130,Bash/Shell/PowerShell
130,C++
130,Clojure
130,HTML/CSS
130,Java
130,Python
130,Ruby
130,SQL
139,Bash/Shell/PowerShell
139,HTML/CSS
139,JavaScript
139,PHP
139,Python
139,SQL
140,Java
140,JavaScript
140,Kotlin
140,PHP
140,SQL
144,Java
144,SQL
151,Bash/Shell/PowerShell
151,C++
151,C#
151,HTML/CSS
151,Java
151,JavaScript
151,SQL
151,TypeScript
157,Bash/Shell/PowerShell
157,C#
157,HTML/CSS
157,JavaScript
157,SQL
158,Java
158,SQL
158,Other(s):
164,C#
164,HTML/CSS
164,JavaScript
164,SQL
166,Bash/Shell/PowerShell
166,Go
166,HTML/CSS
166,Java
166,JavaScript
166,Ruby
166,SQL
173,HTML/CSS
173,JavaScript
173,PHP
173,SQL
173,TypeScript
174,Bash/Shell/PowerShell
174,C
174,C++
174,HTML/CSS
174,Java
174,JavaScript
174,PHP
174,Python
174,R
177,C#
177,Python
177,SQL
179,HTML/CSS
179,Java
179,JavaScript
179,Objective-C
179,SQL
179,Swift
183,Dart
183,Go
183,Java
183,Kotlin
183,Swift
184,Bash/Shell/PowerShell
184,C
184,C++
184,Java
184,JavaScript
184,Kotlin
184,Objective-C
184,Python
184,Rust
184,Swift
188,C#
188,Python
188,R
188,SQL
188,VBA
189,C++
189,HTML/CSS
189,JavaScript
189,Python
189,SQL
190,Java
190,Scala
190,SQL
190,TypeScript
191,C#
191,HTML/CSS
191,JavaScript
191,SQL
191,TypeScript
192,Bash/Shell/PowerShell
192,JavaScript
192,Python
194,Assembly
194,Bash/Shell/PowerShell
194,C
194,HTML/CSS
194,Java
194,JavaScript
194,PHP
196,C#
196,HTML/CSS
196,JavaScript
196,SQL
196,TypeScript
201,Bash/Shell/PowerShell
201,Go
201,HTML/CSS
201,Java
201,JavaScript
201,Python
201,Scala
202,Bash/Shell/PowerShell
202,C
202,C++
202,C#
202,HTML/CSS
202,Java
202,JavaScript
202,Objective-C
202,Python
202,SQL
202,TypeScript
207,Java
209,Bash/Shell/PowerShell
209,HTML/CSS
209,JavaScript
209,PHP
209,Python
209,SQL
211,C#
211,HTML/CSS
211,Java
211,JavaScript
211,Objective-C
211,SQL
213,Go
213,Python
216,Go
216,Java
216,Python
217,Go
217,HTML/CSS
217,JavaScript
217,PHP
217,TypeScript
219,C#
219,HTML/CSS
219,JavaScript
219,SQL
223,Java
223,Kotlin
224,Go
231,Elixir
231,Go
231,JavaScript
231,Ruby
231,SQL
232,Bash/Shell/PowerShell
232,C#
232,Dart
232,HTML/CSS
232,JavaScript
241,Bash/Shell/PowerShell
241,C#
241,HTML/CSS
241,JavaScript
241,SQL
238,HTML/CSS
238,JavaScript
238,Objective-C
238,PHP
238,Python
246,C#
246,HTML/CSS
246,JavaScript
246,SQL
246,TypeScript
249,Bash/Shell/PowerShell
249,C#
249,HTML/CSS
249,Java
249,Python
249,SQL
252,HTML/CSS
252,JavaScript
252,Rust
252,Swift
252,Other(s):
254,C#
254,Python
254,SQL
254,TypeScript
259,C#
259,HTML/CSS
259,Java
259,JavaScript
259,Python
259,SQL
259,TypeScript
261,HTML/CSS
261,JavaScript
262,C++
262,C#
262,HTML/CSS
262,Java
262,JavaScript
262,PHP
262,Python
262,SQL
262,TypeScript
268,C
268,Java
268,PHP
268,Ruby
273,Bash/Shell/PowerShell
273,C++
273,Clojure
273,Erlang
273,HTML/CSS
273,Java
273,JavaScript
273,Ruby
273,Scala
275,C#
275,HTML/CSS
275,Java
275,JavaScript
275,Objective-C
275,Python
275,Ruby
275,Rust
275,SQL
275,TypeScript
276,HTML/CSS
276,Java
276,JavaScript
276,Scala
276,SQL
277,Bash/Shell/PowerShell
277,C
277,C++
277,Python
279,HTML/CSS
279,Java
279,JavaScript
279,PHP
279,Python
279,SQL
280,C#
280,HTML/CSS
280,JavaScript
280,SQL
280,TypeScript
285,C#
285,HTML/CSS
285,JavaScript
285,PHP
285,SQL
286,Dart
286,HTML/CSS
286,JavaScript
286,Python
286,TypeScript
286,Other(s):
289,C++
289,C#
289,PHP
289,Rust
289,TypeScript
292,Bash/Shell/PowerShell
292,C#
292,HTML/CSS
292,JavaScript
292,SQL
292,TypeScript
293,HTML/CSS
293,Java
293,JavaScript
293,SQL
302,Bash/Shell/PowerShell
302,C#
302,Python
302,Other(s):
304,Bash/Shell/PowerShell
304,Go
304,HTML/CSS
304,JavaScript
304,Python
304,Rust
304,SQL
306,C
306,HTML/CSS
306,JavaScript
306,Python
306,SQL
306,TypeScript
308,HTML/CSS
308,JavaScript
308,Ruby
312,Bash/Shell/PowerShell
312,Python
312,Ruby
312,SQL
310,C#
310,HTML/CSS
310,JavaScript
310,SQL
310,Swift
311,Assembly
311,C
311,C++
311,C#
311,HTML/CSS
311,Java
311,Python
311,Scala
311,SQL
316,Bash/Shell/PowerShell
316,C++
316,HTML/CSS
316,Java
316,JavaScript
316,Python
317,Java
317,SQL
321,HTML/CSS
321,Java
321,JavaScript
321,Ruby
321,SQL
321,TypeScript
322,C#
322,HTML/CSS
322,Java
322,Python
324,C#
324,HTML/CSS
324,JavaScript
324,SQL
324,TypeScript
326,Bash/Shell/PowerShell
326,HTML/CSS
326,Java
326,JavaScript
326,PHP
326,Python
326,SQL
326,TypeScript
328,HTML/CSS
328,Java
328,JavaScript
328,TypeScript
330,Java
330,Kotlin
332,Bash/Shell/PowerShell
332,HTML/CSS
332,JavaScript
332,Objective-C
332,Python
332,SQL
332,Swift
332,TypeScript
333,Python
333,Rust
333,Scala
335,C#
335,HTML/CSS
335,Java
335,JavaScript
335,Python
335,SQL
335,Swift
338,Bash/Shell/PowerShell
338,HTML/CSS
338,Java
338,Python
338,SQL
340,C#
340,HTML/CSS
340,SQL
410,Bash/Shell/PowerShell
