Respondent,Platform
118,Docker
118,Linux
120,AWS
120,Heroku
120,iOS
120,MacOS
120,Slack
120,Windows
124,AWS
124,Google Cloud Platform
126,Linux
126,MacOS
126,Microsoft Azure
126,Windows
126,Other(s):
128,AWS
128,Docker
128,Google Cloud Platform
128,Kubernetes
128,Linux
128,MacOS
128,Slack
129,Linux
129,Raspberry Pi
130,AWS
130,Docker
130,Linux
130,MacOS
130,Slack
130,Windows
130,WordPress
139,Linux
139,Raspberry Pi
139,Windows
140,Android
140,AWS
140,Heroku
140,MacOS
144,Windows
151,Android
151,AWS
151,Docker
151,Linux
151,Microsoft Azure
151,Windows
157,AWS
158,Linux
158,Windows
164,Raspberry Pi
164,WordPress
166,AWS
166,Docker
166,Linux
173,AWS
173,Docker
173,Kubernetes
174,Android
174,Arduino
174,Docker
174,Linux
174,Microsoft Azure
174,Raspberry Pi
174,Windows
174,WordPress
177,Android
177,Microsoft Azure
177,Windows
179,Android
179,Docker
179,iOS
183,Android
183,iOS
183,Other(s):
184,Android
184,iOS
184,Linux
184,Windows
184,Other(s):
188,Windows
189,AWS
189,Google Cloud Platform
189,Linux
189,MacOS
190,AWS
190,Linux
190,Windows
191,AWS
191,Microsoft Azure
191,Windows
192,Docker
192,Google Cloud Platform
192,Kubernetes
192,Linux
192,Raspberry Pi
192,Slack
194,Arduino
194,Linux
194,Raspberry Pi
194,Windows
194,Other(s):
196,Windows
201,Docker
201,Google Cloud Platform
202,Google Cloud Platform
202,Linux
202,MacOS
202,Windows
207,Android
207,Docker
207,Google Cloud Platform
209,Linux
211,Android
211,iOS
211,Slack
213,AWS
213,Linux
216,AWS
216,Docker
216,Kubernetes
216,Linux
216,Microsoft Azure
217,Heroku
217,WordPress
219,Windows
223,Android
224,Docker
224,Kubernetes
224,Linux
224,Other(s):
231,Google Cloud Platform
231,Kubernetes
231,Linux
231,Raspberry Pi
232,Android
232,iOS
232,Linux
232,Microsoft Azure
232,Slack
232,Windows
241,Microsoft Azure
241,Windows
238,iOS
246,Microsoft Azure
249,Linux
249,Windows
252,AWS
252,Docker
252,Heroku
252,iOS
252,Kubernetes
254,Microsoft Azure
259,AWS
259,Google Cloud Platform
259,Microsoft Azure
261,Android
261,AWS
261,Docker
261,Google Cloud Platform
261,Heroku
261,iOS
261,MacOS
261,Slack
261,WordPress
262,Android
262,Arduino
262,Docker
262,Linux
262,MacOS
262,Slack
268,AWS
268,Docker
268,Heroku
268,Linux
268,MacOS
268,Slack
273,Docker
273,Google Cloud Platform
273,Heroku
273,Kubernetes
273,Linux
273,MacOS
273,Slack
273,Windows
273,Other(s):
275,Android
275,AWS
275,Google Cloud Platform
275,Heroku
275,iOS
275,Microsoft Azure
276,AWS
276,Linux
277,Linux
279,AWS
279,Docker
279,Kubernetes
279,Linux
279,Slack
279,Windows
280,Windows
285,Windows
285,WordPress
286,AWS
286,Windows
289,Linux
292,Google Cloud Platform
292,Microsoft Azure
293,Docker
293,Heroku
293,Linux
293,Raspberry Pi
293,WordPress
302,Docker
302,Google Cloud Platform
302,Linux
304,AWS
304,Docker
304,Google Cloud Platform
304,Kubernetes
304,Linux
304,MacOS
304,Raspberry Pi
304,Slack
306,AWS
306,Docker
306,Kubernetes
306,Linux
306,Windows
308,Heroku
308,Other(s):
312,AWS
312,Docker
312,Heroku
312,Linux
312,MacOS
310,Android
310,iOS
310,MacOS
310,Windows
311,Arduino
311,IBM Cloud or Watson
311,Linux
311,Raspberry Pi
311,WordPress
316,Android
316,AWS
316,Docker
316,Kubernetes
316,Linux
316,MacOS
316,Windows
317,Docker
317,Linux
321,AWS
321,Docker
322,Android
322,AWS
322,Docker
322,iOS
322,Kubernetes
322,Linux
322,MacOS
322,Slack
324,Android
324,Windows
326,AWS
326,Linux
326,Slack
326,Windows
326,WordPress
328,Android
328,AWS
328,Docker
328,MacOS
328,Slack
328,WordPress
330,Android
330,Docker
330,iOS
330,Linux
330,MacOS
330,Slack
330,WordPress
332,iOS
332,Raspberry Pi
333,AWS
333,Docker
333,Kubernetes
333,Linux
333,Raspberry Pi
333,Slack
335,iOS
335,WordPress
338,Linux
338,Slack
338,Windows
340,Windows
410,Docker
410,Microsoft Azure
410,Slack
410,Windows
341,Arduino
341,Google Cloud Platform
341,Windows
345,AWS
345,Docker
345,Heroku
345,Kubernetes
352,Heroku
354,Android
354,Arduino
354,AWS
354,Docker
354,Heroku
354,iOS
354,Linux
354,MacOS
354,Windows
356,Android
356,AWS
356,Docker
356,Google Cloud Platform
356,Kubernetes
356,Linux
357,MacOS
357,Windows
364,AWS
364,Docker
364,Linux
364,Other(s):
373,Android
373,Windows
374,AWS
374,Docker
374,Google Cloud Platform
374,Heroku
374,Linux
374,Windows
375,Other(s):
382,MacOS
382,Slack
382,Windows
383,AWS
383,Docker
383,Linux
384,Docker
384,Google Cloud Platform
384,Kubernetes
384,Linux
384,MacOS
384,Slack
388,AWS
388,Google Cloud Platform
388,Slack
388,Windows
389,iOS
392,Android
392,Arduino
392,AWS
392,iOS
392,Linux
392,MacOS
392,Raspberry Pi
392,Windows
392,WordPress
395,Android
395,Docker
395,Linux
395,MacOS
398,Linux
398,Raspberry Pi
398,Windows
398,WordPress
401,AWS
401,Heroku
401,MacOS
401,Slack
401,Windows
402,Windows
404,Android
404,iOS
404,MacOS
404,Slack
406,Android
406,AWS
406,iOS
406,Linux
408,Android
408,AWS
408,Docker
408,Linux
408,MacOS
408,Raspberry Pi
414,Android
414,Docker
414,Linux
416,Microsoft Azure
416,Windows
421,AWS
421,Linux
421,MacOS
421,Raspberry Pi
421,Slack
424,Arduino
424,AWS
424,Docker
424,Linux
424,MacOS
424,Slack
424,Windows
427,Microsoft Azure
427,Slack
428,Linux
428,Windows
429,Windows
432,Android
432,Arduino
432,AWS
432,Slack
432,Windows
434,AWS
434,Google Cloud Platform
434,Microsoft Azure
434,Raspberry Pi
434,Windows
435,Docker
435,iOS
435,Linux
435,MacOS
435,Microsoft Azure
435,Windows
436,Android
436,AWS
436,Docker
436,Google Cloud Platform
436,Linux
436,MacOS
436,Slack
436,Windows
436,WordPress
447,Arduino
447,AWS
447,Linux
447,MacOS
447,Microsoft Azure
447,Slack
447,Windows
453,Android
453,Arduino
453,Linux
453,Microsoft Azure
453,Raspberry Pi
453,Windows
460,AWS
460,Docker
460,Heroku
460,Kubernetes
460,Linux
460,Windows
460,WordPress
462,Docker
462,Google Cloud Platform
462,Heroku
462,iOS
462,Linux
462,MacOS
462,Raspberry Pi
462,Windows
463,Android
463,Arduino
463,Linux
463,MacOS
463,Raspberry Pi
463,Windows
463,WordPress
466,AWS
466,Docker
466,Google Cloud Platform
466,MacOS
466,Microsoft Azure
466,WordPress
467,AWS
467,Docker
467,Linux
469,Linux
469,WordPress
471,AWS
475,Android
475,Microsoft Azure
475,Windows
475,WordPress
476,AWS
476,Docker
476,Google Cloud Platform
476,Linux
476,MacOS
476,Slack
498,AWS
498,MacOS
498,Windows
486,Android
486,Docker
486,iOS
486,MacOS
486,Microsoft Azure
486,Slack
489,Windows
497,Android
497,Google Cloud Platform
497,iOS
497,MacOS
499,Heroku
499,Linux
503,AWS
503,Docker
503,Linux
503,Raspberry Pi
503,Slack
510,AWS
510,Docker
520,Windows
525,Android
525,Windows
526,Android
526,Windows
528,AWS
528,Linux
533,AWS
539,AWS
539,Docker
539,Linux
539,MacOS
539,Slack
540,Google Cloud Platform
540,MacOS
542,Docker
542,Google Cloud Platform
542,Linux
545,Android
545,Linux
545,MacOS
545,Slack
545,Windows
545,WordPress
553,Microsoft Azure
553,Windows
550,Microsoft Azure
550,WordPress
554,Android
554,Docker
554,Google Cloud Platform
554,iOS
554,Kubernetes
554,Linux
558,Android
558,Docker
558,iOS
558,Linux
558,MacOS
558,Raspberry Pi
558,WordPress
563,Docker
563,Linux
563,Slack
564,Arduino
564,Linux
564,MacOS
564,Slack
565,AWS
565,Docker
565,Kubernetes
565,Linux
565,MacOS
565,Slack
566,Android
566,iOS
566,Linux
566,MacOS
571,AWS
571,Docker
571,Google Cloud Platform
571,Linux
571,Microsoft Azure
571,Windows
574,Docker
575,Android
575,Docker
575,Linux
575,MacOS
575,Windows
578,Android
578,iOS
578,Linux
581,Docker
583,Docker
583,Heroku
583,Kubernetes
583,Windows
583,WordPress
587,Linux
587,Windows
589,AWS
589,Microsoft Azure
590,MacOS
590,Microsoft Azure
590,Windows
594,Android
602,Android
602,Arduino
602,iOS
602,MacOS
602,Microsoft Azure
602,Raspberry Pi
602,Slack
602,Windows
602,WordPress
603,Docker
603,Kubernetes
603,Linux
603,MacOS
603,Slack
643,AWS
643,Linux
643,WordPress
604,Linux
604,Raspberry Pi
604,Windows
607,Microsoft Azure
608,Docker
608,Google Cloud Platform
608,Kubernetes
613,Android
613,Arduino
613,iOS
613,Linux
613,Raspberry Pi
613,Windows
613,WordPress
614,Linux
614,Windows
615,Android
615,Linux
615,Windows
617,Android
617,Arduino
617,AWS
617,Docker
617,Slack
626,Slack
626,Windows
628,AWS
628,Docker
654,AWS
654,Docker
654,Linux
654,MacOS
657,AWS
657,Linux
658,Android
659,Docker
659,Kubernetes
659,Linux
659,MacOS
659,Raspberry Pi
660,Docker
660,Linux
660,MacOS
662,Windows
665,Heroku
664,Android
664,AWS
664,Google Cloud Platform
664,Linux
664,MacOS
664,Raspberry Pi
664,Windows
666,Linux
666,Microsoft Azure
666,Windows
666,WordPress
668,Docker
668,Linux
668,MacOS
668,Raspberry Pi
668,Slack
668,Windows
669,AWS
669,Linux
669,Raspberry Pi
671,Android
671,AWS
671,Docker
671,iOS
671,Linux
671,MacOS
671,Slack
675,Android
675,iOS
675,Linux
675,Windows
677,Other(s):
679,AWS
679,Windows
680,Windows
681,Android
681,Arduino
681,Docker
681,Google Cloud Platform
681,iOS
681,Linux
681,MacOS
681,Microsoft Azure
681,Raspberry Pi
681,Slack
681,Windows
683,AWS
683,Docker
683,Linux
683,Slack
685,Android
685,Linux
685,Windows
686,Android
686,AWS
689,Arduino
689,Raspberry Pi
689,Windows
701,AWS
701,Linux
693,AWS
693,Docker
693,Linux
693,MacOS
693,Slack
693,Windows
693,WordPress
694,Docker
694,Google Cloud Platform
694,Kubernetes
694,Linux
694,Slack
694,Windows
694,WordPress
695,Microsoft Azure
696,Windows
699,Android
699,Linux
699,Raspberry Pi
699,Windows
703,AWS
703,Docker
703,Google Cloud Platform
703,Kubernetes
703,Linux
703,MacOS
703,Microsoft Azure
703,Slack
703,Windows
705,Google Cloud Platform
715,Google Cloud Platform
715,Linux
715,MacOS
715,Windows
715,WordPress
707,Android
707,Heroku
707,iOS
707,Slack
707,WordPress
708,Docker
708,Linux
708,MacOS
708,Slack
708,Windows
714,Docker
714,Linux
714,Slack
718,Android
718,Arduino
