Respondent,Country,Employment,Student,EdLevel,UndergradMajor,DevType,YearsCode,YearsCodePro,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,DevEnviron,OpSys,ConvertedComp,WorkWeekHrs,WorkRemote,CareerSat,JobSat,Age,Gender,GenderMain
118,Italy,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, embedded applications or devices",8,3,Bash/Shell/PowerShell;C;C++,SQLite,Docker;Linux,Eclipse,Linux-based,35518,40,Less than once per month / Never,Slightly satisfied,Slightly satisfied,26,Man,Man
120,South Africa,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","Data or business analyst;Developer, back-end",8,2,Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL,MongoDB;PostgreSQL,AWS;Heroku;iOS;MacOS;Slack;Windows,Vim,MacOS,21612,40,A few days each month,Very satisfied,Very satisfied,26,Man,Man
124,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, full-stack;DevOps specialist",7,3,HTML/CSS;Java;SQL,MySQL;Oracle,AWS;Google Cloud Platform,Eclipse,Linux-based,9095,40,It's complicated,Very satisfied,Very satisfied,27,Man,Man
126,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"Developer, full-stack;DevOps specialist;System administrator",8,1,C#;SQL,Microsoft SQL Server,Linux;MacOS;Microsoft Azure;Windows;Other(s):,Visual Studio;Visual Studio Code,Windows,60000,40,A few days each month,Slightly satisfied,Slightly satisfied,32,Man,Man
128,United Kingdom,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, QA or test;DevOps specialist",14,10,Bash/Shell/PowerShell;Go;Ruby,PostgreSQL;Redis;SQLite,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack,Atom;Sublime Text;Visual Studio Code,MacOS,1000000,50,All or almost all the time (I'm full-time remote),Very satisfied,Very satisfied,30,Man,Man
129,United States,Employed full-time,No,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","Academic researcher;Data scientist or machine learning specialist;Educator;Engineer, data;Scientist",16,11,C++;Python;R,MySQL,Linux;Raspberry Pi,Atom;Eclipse;IntelliJ;PyCharm;RStudio;Visual Studio;Xcode,Windows,62000,50,It's complicated,Very satisfied,Slightly satisfied,34,Man,Man
130,Brazil,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, game or graphics",13,6,Bash/Shell/PowerShell;C++;Clojure;HTML/CSS;Java;Python;Ruby;SQL,MySQL;PostgreSQL;Redis;SQLite,AWS;Docker;Linux;MacOS;Slack;Windows;WordPress,Emacs;IntelliJ;Vim,MacOS,13116,75,A few days each month,Slightly satisfied,Slightly satisfied,23,Man,Man
139,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;System administrator",7,2,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL;Oracle,Linux;Raspberry Pi;Windows,Notepad++;PyCharm;Vim;Visual Studio,Windows,70000,42,"Less than half the time, but at least one day each week",Slightly satisfied,Very satisfied,24,Man,Man
140,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, mobile",4,4,Java;JavaScript;Kotlin;PHP;SQL,Firebase;MySQL;PostgreSQL;SQLite,Android;AWS;Heroku;MacOS,Android Studio;Sublime Text;Visual Studio,MacOS,7556,48,A few days each month,Slightly satisfied,Slightly satisfied,25,Man,Man
144,Germany,Employed part-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)","Developer, full-stack",20,20,Java;SQL,Oracle,Windows,NetBeans;Notepad++,Windows,54996,35,"More than half, but not all, the time",Neither satisfied nor dissatisfied,Slightly satisfied,47,Man,Man
